log_id,machine_id,component,failure_mode,timestamp,action_taken
LOG0001,MACH-A,Motor,General Wear,2023-01-08 01:00:00,General Maintenance
LOG0002,MACH-A,Bearing,Bearing Failure,2023-01-16 22:00:00,Replaced Bearing
LOG0003,MACH-A,Bearing,Bearing Failure,2023-01-17 21:00:00,Replaced Bearing
LOG0004,MACH-A,Bearing,Bearing Failure,2023-01-18 13:00:00,Replaced Bearing
LOG0005,MACH-A,Bearing,Bearing Failure,2023-01-20 05:00:00,Replaced Bearing
LOG0006,MACH-A,Belt,General Wear,2023-02-07 13:00:00,General Maintenance
LOG0007,MACH-A,Bearing,Bearing Failure,2023-02-12 00:00:00,Replaced Bearing
LOG0008,MACH-A,Bearing,Bearing Failure,2023-03-07 07:00:00,Replaced Bearing
LOG0009,MACH-A,Bearing,Bearing Failure,2023-03-08 10:00:00,Replaced Bearing
LOG0010,MACH-A,Bearing,Bearing Failure,2023-03-16 08:00:00,Replaced Bearing
LOG0011,MACH-A,Belt,General Wear,2023-03-19 08:00:00,General Maintenance
LOG0012,MACH-A,Bearing,Bearing Failure,2023-03-25 06:00:00,Replaced Bearing
LOG0013,MACH-A,Bearing,Bearing Failure,2023-04-02 18:00:00,Replaced Bearing
LOG0014,MACH-A,Bearing,Bearing Failure,2023-04-04 19:00:00,Replaced Bearing
LOG0015,MACH-A,Bearing,Bearing Failure,2023-04-20 08:00:00,Replaced Bearing
LOG0016,MACH-A,Bearing,Bearing Failure,2023-04-20 13:00:00,Replaced Bearing
LOG0017,MACH-A,Bearing,Bearing Failure,2023-04-24 11:00:00,Replaced Bearing
LOG0018,MACH-A,Bearing,Bearing Failure,2023-05-07 22:00:00,Replaced Bearing
LOG0019,MACH-A,Bearing,Bearing Failure,2023-05-16 23:00:00,Replaced Bearing
LOG0020,MACH-A,Bearing,Bearing Failure,2023-05-25 18:00:00,Replaced Bearing
LOG0021,MACH-A,Bearing,Bearing Failure,2023-06-28 08:00:00,Replaced Bearing
LOG0022,MACH-A,Belt,General Wear,2023-07-25 10:00:00,General Maintenance
LOG0023,MACH-A,Belt,General Wear,2023-08-14 12:00:00,General Maintenance
LOG0024,MACH-A,Bearing,Bearing Failure,2023-08-16 03:00:00,Replaced Bearing
LOG0025,MACH-A,Bearing,Bearing Failure,2023-08-20 16:00:00,Replaced Bearing
LOG0026,MACH-A,Bearing,Bearing Failure,2023-08-27 21:00:00,Replaced Bearing
LOG0027,MACH-A,Bearing,General Wear,2023-08-29 07:00:00,General Maintenance
LOG0028,MACH-A,Belt,General Wear,2023-09-04 03:00:00,General Maintenance
LOG0029,MACH-A,Bearing,Bearing Failure,2023-09-07 10:00:00,Replaced Bearing
LOG0030,MACH-A,Bearing,Bearing Failure,2023-09-17 21:00:00,Replaced Bearing
LOG0031,MACH-A,Bearing,Bearing Failure,2023-09-18 06:00:00,Replaced Bearing
LOG0032,MACH-A,Bearing,Bearing Failure,2023-09-19 18:00:00,Replaced Bearing
LOG0033,MACH-A,Motor,General Wear,2023-10-01 19:00:00,General Maintenance
LOG0034,MACH-A,Motor,General Wear,2023-10-02 09:00:00,General Maintenance
LOG0035,MACH-A,Bearing,Bearing Failure,2023-10-05 11:00:00,Replaced Bearing
LOG0036,MACH-A,Motor,General Wear,2023-10-10 12:00:00,General Maintenance
LOG0037,MACH-A,Bearing,Bearing Failure,2023-10-11 08:00:00,Replaced Bearing
LOG0038,MACH-A,Bearing,Bearing Failure,2023-10-14 00:00:00,Replaced Bearing
LOG0039,MACH-A,Motor,General Wear,2023-11-27 10:00:00,General Maintenance
LOG0040,MACH-A,Motor,General Wear,2023-12-01 02:00:00,General Maintenance
LOG0041,MACH-A,Belt,General Wear,2023-12-21 02:00:00,General Maintenance
LOG0042,MACH-A,Bearing,Bearing Failure,2023-12-23 07:00:00,Replaced Bearing
LOG0043,MACH-B,Bearing,General Wear,2023-01-04 22:00:00,General Maintenance
LOG0044,MACH-B,Bearing,Bearing Failure,2023-01-18 10:00:00,Replaced Bearing
LOG0045,MACH-B,Bearing,Bearing Failure,2023-01-23 16:00:00,Replaced Bearing
LOG0046,MACH-B,Bearing,Bearing Failure,2023-02-21 14:00:00,Replaced Bearing
LOG0047,MACH-B,Bearing,Bearing Failure,2023-03-17 18:00:00,Replaced Bearing
LOG0048,MACH-B,Bearing,Bearing Failure,2023-04-11 09:00:00,Replaced Bearing
LOG0049,MACH-B,Bearing,Bearing Failure,2023-04-16 22:00:00,Replaced Bearing
LOG0050,MACH-B,Bearing,Bearing Failure,2023-04-26 09:00:00,Replaced Bearing
LOG0051,MACH-B,Bearing,Bearing Failure,2023-04-27 14:00:00,Replaced Bearing
LOG0052,MACH-B,Bearing,Bearing Failure,2023-04-29 03:00:00,Replaced Bearing
LOG0053,MACH-B,Bearing,Bearing Failure,2023-05-01 12:00:00,Replaced Bearing
