timestamp,machine_id,humidity_percent,vibration_mm_s
2023-01-01 00:00:00,MACH-A,54.97,2.49
2023-01-01 01:00:00,MACH-A,48.62,1.35
2023-01-01 02:00:00,MACH-A,56.48,1.41
2023-01-01 03:00:00,MACH-A,65.23,2.29
2023-01-01 04:00:00,MACH-A,47.66,1.97
2023-01-01 05:00:00,MACH-A,47.66,1.77
2023-01-01 06:00:00,MACH-A,65.79,2.51
2023-01-01 07:00:00,MACH-A,57.67,2.09
2023-01-01 08:00:00,MACH-A,45.31,2.03
2023-01-01 09:00:00,MACH-A,55.43,2.39
2023-01-01 10:00:00,MACH-A,45.37,1.81
2023-01-01 11:00:00,MACH-A,45.34,2.78
2023-01-01 12:00:00,MACH-A,52.42,1.61
2023-01-01 13:00:00,MACH-A,30.87,2.33
2023-01-01 14:00:00,MACH-A,32.75,2.72
2023-01-01 15:00:00,MACH-A,44.38,1.31
2023-01-01 16:00:00,MACH-A,39.87,1.83
2023-01-01 17:00:00,MACH-A,53.14,2.57
2023-01-01 18:00:00,MACH-A,40.92,2.58
2023-01-01 19:00:00,MACH-A,35.88,1.91
2023-01-01 20:00:00,MACH-A,64.66,1.63
2023-01-01 21:00:00,MACH-A,47.74,2.48
2023-01-01 22:00:00,MACH-A,50.68,2.59
2023-01-01 23:00:00,MACH-A,35.75,1.42
2023-01-02 00:00:00,MACH-A,44.56,1.4
2023-01-02 01:00:00,MACH-A,51.11,2.11
2023-01-02 02:00:00,MACH-A,38.49,2.31
2023-01-02 03:00:00,MACH-A,53.76,1.85
2023-01-02 04:00:00,MACH-A,43.99,2.34
2023-01-02 05:00:00,MACH-A,47.08,1.64
2023-01-02 06:00:00,MACH-A,43.98,0.94
2023-01-02 07:00:00,MACH-A,68.52,1.79
2023-01-02 08:00:00,MACH-A,49.87,2.03
2023-01-02 09:00:00,MACH-A,39.42,1.86
2023-01-02 10:00:00,MACH-A,58.23,1.42
2023-01-02 11:00:00,MACH-A,37.79,1.09
2023-01-02 12:00:00,MACH-A,52.09,1.74
2023-01-02 13:00:00,MACH-A,30.4,2.45
2023-01-02 14:00:00,MACH-A,36.72,2.63
2023-01-02 15:00:00,MACH-A,51.97,2.59
2023-01-02 16:00:00,MACH-A,57.38,1.59
2023-01-02 17:00:00,MACH-A,51.71,1.42
2023-01-02 18:00:00,MACH-A,48.84,2.25
2023-01-02 19:00:00,MACH-A,46.99,2.32
2023-01-02 20:00:00,MACH-A,35.21,2.2
2023-01-02 21:00:00,MACH-A,42.8,0.99
2023-01-02 22:00:00,MACH-A,45.39,1.57
2023-01-02 23:00:00,MACH-A,60.57,1.99
2023-01-03 00:00:00,MACH-A,53.44,2.24
2023-01-03 01:00:00,MACH-A,32.37,2.38
2023-01-03 02:00:00,MACH-A,53.24,2.07
2023-01-03 03:00:00,MACH-A,46.15,2.17
2023-01-03 04:00:00,MACH-A,43.23,2.04
2023-01-03 05:00:00,MACH-A,56.12,2.34
2023-01-03 06:00:00,MACH-A,60.31,2.16
2023-01-03 07:00:00,MACH-A,59.31,2.03
2023-01-03 08:00:00,MACH-A,41.61,1.87
2023-01-03 09:00:00,MACH-A,46.91,2.04
2023-01-03 10:00:00,MACH-A,53.31,2.24
2023-01-03 11:00:00,MACH-A,59.76,2.13
2023-01-03 12:00:00,MACH-A,45.21,2.19
2023-01-03 13:00:00,MACH-A,48.14,2.67
2023-01-03 14:00:00,MACH-A,38.94,2.13
2023-01-03 15:00:00,MACH-A,38.04,1.68
2023-01-03 16:00:00,MACH-A,58.13,2.44
2023-01-03 17:00:00,MACH-A,63.56,1.32
2023-01-03 18:00:00,MACH-A,49.28,1.46
2023-01-03 19:00:00,MACH-A,60.04,2.17
2023-01-03 20:00:00,MACH-A,53.62,2.26
2023-01-03 21:00:00,MACH-A,43.55,1.38
2023-01-03 22:00:00,MACH-A,53.61,1.81
2023-01-03 23:00:00,MACH-A,65.38,1.7
2023-01-04 00:00:00,MACH-A,49.64,1.76
2023-01-04 01:00:00,MACH-A,65.65,2.47
2023-01-04 02:00:00,MACH-A,23.8,2.35
2023-01-04 03:00:00,MACH-A,58.22,1.99
2023-01-04 04:00:00,MACH-A,50.87,1.73
2023-01-04 05:00:00,MACH-A,47.01,1.33
2023-01-04 06:00:00,MACH-A,50.92,2.71
2023-01-04 07:00:00,MACH-A,30.12,2.3
2023-01-04 08:00:00,MACH-A,47.8,1.65
2023-01-04 09:00:00,MACH-A,53.57,2.36
